u_id,tuition,in_state
151379,7274,1
151388,20634,0
151388,7274,1
151467,15280,0
151777,34504,0
151786,37600,0
151801,29684,0
151810,12840,0
151865,16650,0
151962,18000,0
152080,59794,0
152099,26400,0
152318,50961,0
152336,32870,0
152381,31150,0
152390,48880,0
152451,32082,0
152497,18650,0
152530,37176,0
152567,34330,0
152600,43400,0
152637,15201,0
152637,6116,1
152673,46600,0
152798,19236,0
152992,32777,0
153001,38644,0
153108,19800,0
153126,36900,0
153144,50314,0
153162,48514,0
153214,10680,0
153214,5340,1
153241,14400,0
153250,34000,0
153269,47564,0
153278,36800,0
153296,5568,0
153296,4560,1
153302,19800,0
153311,6096,0
153311,4488,1
153320,17990,0
153366,31250,0
153375,31418,0
153384,60988,0
153427,14700,0
153445,6409,0
153445,5916,1
153472,6120,0
153472,4680,1
153524,6822,0
153524,4620,1
153533,6720,0
153533,6272,1
153542,3600,0
153603,25162,0
153603,8678,1
153621,33550,0
153630,6180,0
153630,6030,1
153658,30674,0
153658,8711,1
153737,7504,0
153737,5600,1
153825,34750,0
153834,47510,0
153861,16000,0
153922,5064,0
153922,4560,1
153977,19087,0
154004,35100,0
154013,36606,0
154022,12240,0
154059,8066,0
154059,5378,1
154095,19265,0
154095,8111,1
154101,34000,0
154110,6270,0
154110,5550,1
154129,6120,0
154129,5820,1
154156,21062,0
154174,11025,0
154235,34290,0
154262,19440,0
154350,44202,0
154378,6150,0
154378,6000,1
154396,6150,0
154396,5940,1
154493,32589,0
154518,23108,0
154527,46740,0
154536,19400,0
154572,4056,0
154572,4032,1
154590,27800,0
154642,1830,0
154688,31620,0
154697,3136,0
154697,2368,1
154712,32920,0
154721,29200,0
154749,31850,0
154800,4708,0
154800,2908,1
154855,19900,0
154907,2520,0
154907,2340,1
154925,2816,0
154925,1248,1
154934,4199,0
154934,2659,1
154952,3750,0
154952,2250,1
154998,1710,0
154998,1410,1
155007,9917,0
155025,13195,0
155025,5278,1
155052,4572,0
155061,14580,0
155061,4140,1
155070,19000,0
155089,31172,0
155098,1860,0
155104,2460,0
155104,1890,1
155140,0,0
155177,29472,0
155186,1830,0
155195,3780,0
155195,2850,1
155201,2310,0
155201,2100,1
155210,5088,0
155210,2400,1
155292,5628,0
155292,2548,1
155308,8520,0
155317,26960,0
155317,10092,1
155335,32400,0
155399,25560,0
155399,9489,1
155414,31950,0
155423,7440,0
155450,2624,0
155450,1824,1
155487,5700,0
155496,17014,0
155511,32494,0
155520,34082,0
155566,2880,0
155593,5372,0
155627,29980,0
155636,11922,0
155681,17180,0
155681,5836,1
155715,2592,0
155715,2176,1
155812,31450,0
155830,6029,0
155858,3552,0
155858,2368,1
155900,36500,0
155937,28500,0
155973,35050,0
156082,20020,0
156082,9016,1
156107,5174,0
156107,4311,1
156125,16208,0
156125,6848,1
156189,12000,0
156213,32578,0
156222,16608,0
156231,15288,0
156231,4368,1
156286,44040,0
156295,44300,0
156338,15288,0
156338,4368,1
156356,27000,0
156365,25600,0
156392,15288,0
156392,4368,1
156408,48070,0
156417,9000,0
156541,9875,0
156620,19922,0
156620,9544,1
156648,15288,0
156648,4368,1
156727,16473,0
156745,40610,0
156790,15288,0
156790,4368,1
156851,15288,0
156851,4368,1
156860,15288,0
156860,4368,1
156921,15288,0
156921,4368,1
157021,10314,0
157030,9150,0
157058,11782,0
157058,7854,1
157076,30040,0
157085,30913,0
157085,11496,1
157100,23100,0
157207,9120,0
157216,25944,0
157289,28670,0
157289,12324,1
157298,11502,0
157304,15288,0
157304,4368,1
157331,15288,0
157331,4368,1
157377,24500,0
157386,13966,0
157386,9240,1
157401,17652,0
157401,8196,1
157438,15288,0
157438,4368,1
157447,20464,0
157447,10208,1
157483,15288,0
157483,4368,1
157535,23000,0
157553,15288,0
157553,4368,1
157711,15288,0
157711,4368,1
157739,15288,0
157739,4368,1
157748,11400,0
157757,26900,0
157793,14220,0
157809,34060,0
157818,41900,0
157863,27731,0
157951,27072,0
157951,11112,1
158088,3335,0
158325,13300,0
158431,3435,0
158477,38820,0
158662,3335,0
158802,18280,0
158884,3335,0
159009,5140,0
159197,11561,0
159373,15495,0
159373,7020,1
159382,5120,0
159382,4950,1
159391,8038,0
159407,2868,0
159416,5656,0
159568,19590,0
159647,13142,0
159647,6401,1
159656,43160,0
159717,7203,0
159717,5147,1
159939,10926,0
159939,6090,1
159948,9840,0
159966,6015,0
159966,4922,1
159993,17888,0
159993,5788,1
160010,3214,0
160038,15968,0
160038,5180,1
160065,14040,0
160074,13886,0
160409,22300,0
160481,3335,0
160524,22272,0
160579,3335,0
160612,18255,0
160612,5777,1
160621,4973,0
160630,13384,0
160630,4483,1
160649,2618,0
160658,19135,0
160658,5407,1
160667,3214,0
160755,58666,0
160904,23996,0
160959,44280,0
160977,61066,0
161004,60952,0
